cartodb_id,max_areami,max_areakm,scalerank,natscale,labelrank,featurecla,name,namepar,namealt,diffascii,nameascii,adm0cap,capalt,capin,worldcity,megacity,sov0name,sov_a3,adm0name,adm0_a3,adm1name,iso_a2,note,latitude,longitude,changed,namediff,diffnote,pop_max,pop_min,pop_other,rank_max,rank_min,geonameid,meganame,elevation,timezone,geonamesno,country_name,geom
7131,196,508,2,200,6,Admin-0 capital,Lisbon,Lisboa,,0,Lisbon,1,0,,1,1,Portugal,PRT,Portugal,PRT,Lisboa,PT,,38.722722878,-9.144866305,4,0,Location adjusted. Changed scale rank.,2812000,517802,1795582,12,11,2267057,Lisboa,0,Europe/Lisbon,GeoNames match general.,,POINT(-9.14681 38.72467)
4978,649,1681,6,30,6,Admin-1 capital,Porto,,,0,Porto,0,0,,0,1,Portugal,PRT,Portugal,PRT,Porto,PT,,41.150006326,-8.620001263,1,0,Changed scale rank.,1337000,249633,1705032,12,10,2735943,Porto,0,Europe/Lisbon,GeoNames match general.,,POINT(-8.62195 41.15195)
4977,24,63,6,30,6,Admin-1 capital,Setubal,,,0,Setubal,0,0,,0,0,Portugal,PRT,Portugal,PRT,Lisboa,PT,,38.529959533,-8.900010011,1,0,Changed scale rank.,117974,117110,117114,9,9,2262963,,0,Europe/Lisbon,GeoNames match general.,,POINT(-8.90001 38.52996)
2116,11,29,7,20,3,Populated place,Huelva,,,0,Huelva,0,0,,0,0,Kingdom of Spain,ESP,Spain,ESP,Andaluc a,ES,,37.250373555,-6.929949383,0,0,,144174,95290,0,9,8,2516548,,0,Europe/Madrid,GeoNames match with ascii name + lat + long whole numbers.,,POINT(-6.92995 37.25037)
2365,18,46,7,20,3,Populated place,Badajoz,,,0,Badajoz,0,0,,0,0,Kingdom of Spain,ESP,Spain,ESP,Extremadura,ES,,38.880429097,-6.96997278,0,0,,140133,91144,91007,9,8,2521420,,0,Europe/Madrid,Geonames ascii name + lat.d + long.d matching.,,POINT(-6.96997 38.88043)
2622,8,20,7,20,6,Admin-1 capital,Faro,,,0,Faro,0,0,,0,0,Portugal,PRT,Portugal,PRT,Faro,PT,,37.017080301,-7.933273154,0,0,,41355,21163,19573,7,7,2268339,,0,Europe/Lisbon,GeoNames match general.,,POINT(-7.93327 37.01708)
2621,21,55,7,20,6,Populated place,Portimao,,,0,Portimao,0,0,,0,0,Portugal,PRT,Portugal,PRT,Faro,PT,,37.133739847,-8.533314048,0,0,,61226,38487,60648,8,7,2264456,,0,Europe/Lisbon,Geonames ascii name + lat.d + long.d matching.,,POINT(-8.53331 37.13374)
2623,22,58,7,20,6,Admin-1 capital,Coimbra,,,0,Coimbra,0,0,,0,0,Portugal,PRT,Portugal,PRT,Coimbra,PT,,40.200374368,-8.41668034,0,0,,106582,89131,87515,9,8,2740637,,0,Europe/Lisbon,GeoNames match general.,,POINT(-8.41668 40.20037)
973,7,18,8,10,6,Populated place,Covilha,,,0,Covilha,0,0,,0,0,Portugal,PRT,Portugal,PRT,Castelo Branco,PT,,40.28334088,-7.499992108,0,0,,24828,17610,24536,7,6,2740313,,205,Europe/Lisbon,Geonames ascii name + lat.d + long.d matching.,,POINT(-7.49999 40.28334)
972,290,750,8,10,6,Admin-1 capital,Braga,,,0,Braga,0,0,,0,0,Portugal,PRT,Portugal,PRT,Braga,PT,,41.554994526,-8.421331219,0,0,,826833,181819,744877,11,9,2742032,,0,Europe/Lisbon,GeoNames match general.,,POINT(-8.42133 41.555)
179,0,0,10,1,6,Admin-1 capital,Viseu,,,0,Viseu,0,0,,0,0,Portugal,PRT,Portugal,PRT,Viseu,PT,,40.656996108,-7.910000431,4,1,Added missing admin-1 capital. Population from GeoNames.,26364,26364,0,7,7,2732265,,0,Europe/Lisbon,GeoNames match general.,,POINT(-7.91 40.657)
168,0,0,10,1,6,Admin-1 capital,Aveiro,,,0,Aveiro,0,0,,0,0,Portugal,PRT,Portugal,PRT,Aveiro,PT,,40.641003105,-8.650997534,4,1,Added missing admin-1 capital. Population from GeoNames.,54162,54162,0,8,8,2742611,,0,Europe/Lisbon,GeoNames match general.,,POINT(-8.651 40.641)
177,0,0,10,1,6,Admin-1 capital,Castelo Branco,,,0,Castelo Branco,0,0,,0,0,Portugal,PRT,Portugal,PRT,Castelo Branco,PT,,39.810996148,-7.487999559,4,1,Added missing admin-1 capital. Population from GeoNames.,33479,33479,0,7,7,2269514,,0,Europe/Lisbon,GeoNames match general.,,POINT(-7.488 39.811)
180,0,0,10,1,6,Admin-1 capital,Vila Real,,,0,Vila Real,0,0,,0,0,Portugal,PRT,Portugal,PRT,Vila Real,PT,,41.293998149,-7.73700249,4,1,Added missing admin-1 capital. Population from GeoNames.,17001,17001,0,6,6,2732438,,0,Europe/Lisbon,GeoNames match general.,,POINT(-7.737 41.294)
170,0,0,10,1,6,Admin-1 capital,Viana Do Castelo,,,0,Viana Do Castelo,0,0,,0,0,Portugal,PRT,Portugal,PRT,Viana do Castelo,PT,,41.696235143,-8.844137484,4,1,Added missing admin-1 capital. Population from GeoNames.,15555,15555,0,6,6,2732773,,0,Europe/Lisbon,GeoNames match general.,,POINT(-8.84414 41.69624)
173,0,0,10,1,6,Admin-1 capital,Evora,,,0,Evora,0,0,,0,0,Portugal,PRT,Portugal,PRT,Pvora,PT,,38.559996115,-7.905995561,4,1,Added missing admin-1 capital. Population from GeoNames.,55620,55620,0,8,8,2268406,,0,Europe/Lisbon,GeoNames match general.,,POINT(-7.906 38.56)
174,0,0,10,1,6,Admin-1 capital,Portalegre,,,0,Portalegre,0,0,,0,0,Portugal,PRT,Portugal,PRT,Portalegre,PT,,39.29000411,-7.423001549,4,1,Added missing admin-1 capital. Population from GeoNames.,15581,15581,0,6,6,2264508,,0,Europe/Lisbon,GeoNames match general.,,POINT(-7.423 39.29)
178,0,0,10,1,6,Admin-1 capital,Guarda,,,0,Guarda,0,0,,0,0,Portugal,PRT,Portugal,PRT,Guarda,PT,,40.541004143,-7.262000512,4,1,Added missing admin-1 capital. Population from GeoNames.,32111,32111,0,7,7,2738785,,0,Europe/Lisbon,GeoNames match general.,,POINT(-7.262 40.541)
176,0,0,10,1,6,Admin-1 capital,Braganca,,,0,Braganca,0,0,,0,0,Portugal,PRT,Portugal,PRT,Braganaa,PT,,41.807997014,-6.755003426,4,1,Added missing admin-1 capital. Population from GeoNames.,34375,34375,0,7,7,2742027,,0,Europe/Lisbon,GeoNames match general.,,POINT(-6.755 41.808)
172,0,0,10,1,6,Admin-1 capital,Beja,,,0,Beja,0,0,,0,0,Portugal,PRT,Portugal,PRT,Beja,PT,,38.014002143,-7.86300241,4,1,Added missing admin-1 capital. Population from GeoNames.,35854,21658,0,7,7,2270985,,0,Europe/Lisbon,GeoNames match general.,,POINT(-7.863 38.014)
169,0,0,10,1,6,Admin-1 capital,Leiria,,,0,Leiria,0,0,,0,0,Portugal,PRT,Portugal,PRT,Leiria,PT,,39.738996029,-8.804996462,4,1,Added missing admin-1 capital. Population from GeoNames.,45112,45112,0,7,7,2267095,,0,Europe/Lisbon,GeoNames match general.,,POINT(-8.805 39.739)
175,0,0,10,1,6,Admin-1 capital,Santarem,,,0,Santarem,0,0,,0,0,Portugal,PRT,Portugal,PRT,Santaram,PT,,39.231000083,-8.682002552,4,1,Added missing admin-1 capital. Population from GeoNames.,29385,29385,0,7,7,2263480,,0,Europe/Lisbon,GeoNames match general.,,POINT(-8.682 39.231)
